Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Investment analyst,Finance,Increasing,Moderate,107472.41,Master's Degree,7,1515,6342,55.96,44.93,UK,44.63
"Journalist, newspaper",Entertainment,Increasing,Moderate,71390.73,Bachelor's Degree,6,1243,6205,16.81,40.34,USA,66.39
Financial planner,Finance,Increasing,Low,77019.75,Bachelor's Degree,5,3338,1154,91.82,51.89,Canada,41.13
Legal secretary,Finance,Increasing,High,41674.17,Associate Degree,3,7173,4060,1.89,62.33,Australia,65.76
Aeronautical engineer,Manufacturing,Increasing,Low,138495.49,Bachelor's Degree,7,5944,7396,53.76,49.08,Germany,72.57
Legal secretary,Finance,Decreasing,Low,35015.58,Associate Degree,4,6985,7832,77.5,64.93,USA,46.91
"Surveyor, insurance",Finance,Decreasing,High,85212.11,Bachelor's Degree,8,9738,4360,30.51,42.13,UK,20.14
Dentist,Healthcare,Decreasing,High,121383.75,Bachelor's Degree,6,1393,8206,9.74,38.4,Canada,59.27
Emergency planning/management officer,Finance,Increasing,High,59882.29,Bachelor's Degree,5,7729,4452,38.77,54.55,Australia,60.56
Visual merchandiser,Retail,Decreasing,Moderate,43120.97,Associate Degree,3,1127,2375,4.29,53.74,China,48.19
Emergency planning/management officer,Finance,Increasing,Moderate,89413.08,Bachelor's Degree,2,4627,1684,89.49,38.79,China,34.83
Housing manager/officer,Retail,Decreasing,High,62581.08,Bachelor's Degree,6,2800,7964,94.02,48.76,UK,31.9
"Geologist, wellsite",Manufacturing,Increasing,Moderate,85663.25,Master's Degree,4,1852,3700,32.89,44.48,Australia,56.02
"Runner, broadcasting/film/video",Entertainment,Decreasing,Moderate,41742.75,High School,0,1824,7625,55.6,45.24,Australia,27.5
Press photographer,Entertainment,Decreasing,Moderate,48926.81,Associate Degree,5,8312,9700,59.95,41.6,India,56.06
"Biochemist, clinical",Healthcare,Increasing,Moderate,74271.34,Master's Degree,8,1872,5314,93.9,49.16,China,74.67
Town planner,Manufacturing,Decreasing,High,66067.76,Master's Degree,4,7251,1090,15.25,38.88,UK,23.99
"Engineer, civil (consulting)",Manufacturing,Decreasing,Moderate,118126.11,Bachelor's Degree,5,1044,8832,12.92,41.38,India,56.12
Audiological scientist,Healthcare,Increasing,Low,65198.54,Master's Degree,6,5379,8913,82.13,37.77,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Healthcare,Decreasing,High,123783.39,PhD,6,2377,7307,4.29,34.3,India,56.57
Music therapist,Healthcare,Increasing,High,49903.0,Master's Degree,5,2661,5588,88.17,28.97,India,34.19
Advertising copywriter,Entertainment,Decreasing,High,87265.6,Bachelor's Degree,8,7291,7469,65.94,40.94,Brazil,74.45
Commercial horticulturist,Manufacturing,Decreasing,Low,43040.23,Bachelor's Degree,6,5892,369,43.78,50.83,UK,56.8
Secondary school teacher,Education,Increasing,Moderate,51241.03,Bachelor's Degree,4,5398,3531,20.77,36.8,Germany,49.88
"Production assistant, radio",Entertainment,Increasing,Low,49374.6,Bachelor's Degree,3,8039,3829,55.19,56.14,China,78.99
Armed forces technical officer,Transportation,Increasing,Moderate,65355.12,Bachelor's Degree,5,8317,9078,84.29,25.23,India,53.79
Youth worker,Education,Decreasing,Moderate,39621.23,Bachelor's Degree,1,4286,8248,24.27,27.98,USA,67.62
Special effects artist,Entertainment,Decreasing,Moderate,55220.88,Bachelor's Degree,5,348,5612,86.55,34.98,India,48.47
