Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
328,4,1,2,42109.76,3,5,1515,6342,55.96,28.28,6,44.63
334,5,1,2,132298.57,3,15,1243,6205,16.81,89.71,7,66.39
249,2,1,1,143279.19,1,4,3338,1154,91.82,72.97,2,41.13
344,3,1,0,97576.13,0,15,7173,4060,1.89,99.94,0,65.76
24,4,1,1,60956.63,3,13,5944,7396,53.76,37.65,4,72.57
344,0,0,1,39123.32,3,20,6985,7832,77.5,28.99,7,46.91
571,5,0,0,147150.03,2,7,9738,4360,30.51,7.08,6,20.14
154,1,0,0,64245.48,0,0,1393,8206,9.74,2.49,2,59.27
192,0,1,0,72488.15,2,12,7729,4452,38.77,99.56,0,60.56
628,5,0,2,95840.3,0,16,1127,2375,4.29,69.03,3,48.19
192,5,1,2,97133.62,1,17,4627,1684,89.49,43.94,3,34.83
303,1,0,0,114672.3,2,12,2800,7964,94.02,20.19,6,31.9
274,1,1,2,116427.68,4,7,1852,3700,32.89,5.54,0,56.02
519,3,0,2,43059.04,4,2,1824,7625,55.6,13.12,0,27.5
446,1,0,2,137894.14,3,3,8312,9700,59.95,95.76,5,56.06
62,1,1,2,67908.84,3,2,1872,5314,93.9,3.19,3,74.67
616,6,0,0,107318.63,0,11,7251,1090,15.25,55.15,6,23.99
202,3,0,2,101322.09,0,17,1044,8832,12.92,64.18,5,56.12
55,7,1,1,109546.76,3,8,5379,8913,82.13,80.62,6,38.87
115,5,0,0,142660.31,3,2,2377,7307,4.29,16.88,5,56.57
392,0,1,0,122569.29,2,4,2661,5588,88.17,26.8,5,34.19
22,6,0,0,122668.89,1,14,7291,7469,65.94,7.14,1,74.45
119,0,0,1,60874.45,0,14,5892,369,43.78,95.96,6,56.8
538,2,1,2,49705.11,4,4,5398,3531,20.77,60.11,4,49.88
459,3,1,1,59923.23,2,1,8039,3829,55.19,48.57,3,78.99
46,6,1,2,52060.54,4,13,8317,9078,84.29,29.58,5,53.79
638,6,0,2,110077.96,3,18,4286,8248,24.27,20.75,7,67.62
555,0,0,2,102393.43,4,0,348,5612,86.55,18.51,5,48.47
